Tahun,Bulan,Tanggal,Cabai Merah Keriting,Cabai Rawit Merah
2022,5,1,46970,45120
2022,5,2,46150,47190
2022,5,3,47720,47210
2022,5,4,47090,46750
2022,5,5,46210,46550
2022,5,6,45380,46320
2022,5,7,43150,45290
2022,5,8,42840,43890
2022,5,9,38720,41000
2022,5,10,38830,40330
2022,5,11,36950,40050
2022,5,12,36590,39380
2022,5,13,35830,38420
2022,5,14,35000,38040
2022,5,15,35620,38350
2022,5,16,34840,37710
2022,5,17,35460,40850
2022,5,18,37600,41580
2022,5,19,38440,43650
2022,5,20,38360,44180
2022,5,21,39460,45170
2022,5,22,40050,46380
2022,5,23,41190,47650
2022,5,24,41580,48960
2022,5,25,42890,51400
2022,5,26,44040,51760
2022,5,27,43970,51610
2022,5,28,45980,54320
2022,5,29,44930,54410
2022,5,30,48250,57550
2022,5,31,48480,58940
2022,6,1,49770,61690
2022,6,2,50070,63150
2022,6,3,52140,65690
2022,6,4,52640,68630
2022,6,5,55360,72290
2022,6,6,56810,75020
2022,6,7,60090,80690
2022,6,8,64870,85420
2022,6,9,67610,86250
2022,7,14,90350,92550
2022,7,15,88480,97990
2022,7,16,87320,94850
2022,7,17,85810,93790
2022,7,18,84830,86390
2022,7,19,83810,86730
2022,7,20,82040,84830
2022,7,21,79490,81100
2022,7,22,77680,78220
2022,7,23,77800,74610
2022,7,24,79090,75220
2022,7,25,77190,74650
2022,7,26,75970,72440
2022,7,27,75060,72060
2022,7,28,74170,71860
2022,7,29,74120,71000
2022,7,30,72800,69240
2022,7,31,72980,70490
2022,8,1,68440,70200
2022,8,2,69530,68190
2022,8,3,69220,69010
2022,8,4,70020,67960
2022,8,5,67300,66070
2022,8,6,68400,68100
2022,8,7,67170,67030
2022,8,8,66620,65840
2022,8,9,67320,65650
2022,8,10,66510,63540
2022,8,11,66260,63180
2022,8,12,66420,61210
2022,8,13,64650,60740
2022,8,14,65960,60710
2022,8,15,63330,55380
2022,8,16,61650,55870
2022,8,17,62230,57530
2022,8,18,61980,54920
2022,8,19,61510,54160
2022,8,20,61810,55510
2022,8,21,61080,54340
2022,8,22,63020,52290
2022,8,23,62770,51040
2022,8,24,60070,50920
2022,8,25,60810,48470
2022,8,26,59230,48050
2022,8,27,58930,47920
2022,8,28,59670,49490
2022,8,29,57940,48090
2022,8,30,55210,46070
2022,8,31,57050,49700
2022,9,1,58150,50650
2022,9,2,59160,51190
2022,9,3,59620,52000
2022,9,4,60130,52100
2022,9,5,65390,54940
2022,9,6,68510,57130
2022,9,7,69870,57920
2022,9,8,70800,58540
2022,9,9,71760,58090
2022,9,10,71860,59100
2022,9,11,71460,59290
2022,9,12,71190,59150
2022,9,13,68850,58470
2022,9,14,69150,58360
2022,9,15,67750,58910
2022,9,16,67750,60300
2022,9,17,66890,62140
2022,9,18,67580,62870
2022,9,19,66720,64590
2022,9,20,65470,66560
2022,9,21,64590,66620
2022,9,22,62430,65660
2022,9,23,60830,64350
2022,9,24,60490,62510
2022,9,25,59900,63020
2022,9,26,59050,62700
2022,9,27,58060,61950
2022,9,28,56180,61430
2022,9,29,56910,60520
2022,9,30,56310,60600
2022,1,1,56770,60010
2022,1,2,54170,59920
2022,1,3,53860,60120
2022,1,4,54220,59470
2022,1,5,53640,59110
2022,1,6,54240,59160
2022,1,7,53320,58540
2022,1,8,54020,58380
2022,1,9,54240,57720
2022,10,10,57900,58440
2022,10,11,57600,58500
2022,10,12,57420,56760
2022,10,13,57690,57140
2022,10,14,56410,56320
2022,10,15,55500,57110
2022,10,16,55420,57420
2022,10,17,50310,53050
2022,10,18,50200,52420
2022,10,19,48620,51860
2022,10,20,49030,50870
2022,10,21,47670,49470
2022,10,22,46340,48330
2022,10,23,46370,47950
2022,10,24,45440,48170
2022,10,25,45440,47400
2022,10,26,43730,44500
2022,10,27,43810,44150
2022,10,28,43650,45420
2022,10,29,43320,44590
2022,10,30,43690,45650
2022,10,31,42300,43130
2022,1,11,42700,42580
2022,1,12,41620,42160
2022,1,13,41660,41650
2022,1,14,39940,41330
2022,1,15,41450,43040
2022,1,16,39630,41790
2022,1,17,37760,41190
2022,1,18,37850,41220
2022,1,19,36290,39440
2022,11,10,36150,39730
2022,11,11,36330,40000
2022,11,12,34630,38880
2022,11,13,36300,40500
2022,11,14,35100,38820
2022,11,15,34510,38340
2022,11,16,33220,38300
2022,11,17,35120,39240
2022,11,18,34810,39730
2022,11,19,34370,40460
2022,11,20,34250,40220
2022,11,21,35470,41950
2022,11,22,35480,41360
2022,11,23,36410,41810
2022,11,24,36790,42110
2022,11,25,35910,42200
2022,11,26,35270,41710
2022,11,27,35760,40990
2022,11,28,33810,40670
2022,11,29,33950,40910
2022,11,30,34450,41220
2022,1,21,33770,40920
2022,1,22,33750,41010
2022,1,23,34180,40860
2022,1,24,34780,42190
2022,1,25,36270,44920
2022,1,26,36100,46710
2022,1,27,36600,48510
2022,1,28,36950,48580
2022,1,29,36310,51240
2022,12,10,37290,51500
2022,12,11,37530,51530
2022,12,12,38120,51500
2022,12,13,38340,51540
2022,12,14,38510,51550
2022,12,15,39200,51230
2022,12,16,38830,50950
2022,12,17,38980,50820
2022,12,18,38490,49390
2022,12,19,38300,48990
2022,12,20,38700,49320
2022,12,21,36860,46870
2022,12,22,36040,46850
2022,12,23,37720,46840
2022,12,24,37490,47660
2022,12,25,36990,47480
2022,12,26,36900,49410
2022,12,27,36170,50770
2022,12,28,35360,52260
2022,12,29,36210,50450
2022,12,30,36250,51310
2022,12,31,37650,56680
2023,1,1,36450,58600
2023,1,2,39670,63740
2023,1,3,41850,68200
2023,1,4,42280,68450
2023,1,5,43260,66590
2023,1,6,42570,66870
2023,1,7,41840,64790
2023,1,8,43290,67400
2023,1,9,38400,68080
2023,1,10,43920,67260
2023,1,11,44190,66370
2023,1,12,42760,65060
2023,1,13,43380,64400
2023,1,14,43270,63640
2023,1,15,44010,62380
2023,1,16,41780,58070
2023,1,17,41980,57500
